MT-TF	TrnF,RF00005,TRNF,TRNA,MTTF
MT-RNR1	MOTS-C,MTRNR1,12S,NONHSAG053891.2,HSALNG0136337,RF00177,S-RRNA,RNR1
MT-TV	TrnV,MTTV,RF00005,TRNV,TRNA
MT-RNR2	HN,Humanin,MTRNR2,16S,Formyl-Humanin,RF02541,L-RRNA,RNR2,HNM
MT-TL1	TRNL1,MTTL1,TRNA,RF00005
MT-ND1	ND1,MTND1,NAD1,NADH1
MT-TI	TrnI,TRNA,MTTI,RF00005,TRNI
MT-TQ	TrnQ,MTTQ,RF00005,TRNQ,TRNA
MT-TM	TrnM,MTTM,TRNM,TRNA
MT-ND2	ND2,MTND2,NAD2,NADH2
MT-TW	TrnW,MTTW,RF00005,TRNW,TRNA
MT-TA	TrnA,TRNA,MTTA,RF00005
MT-TN	TrnN,MTTN,RF00005,TRNN,TRNA
MT-TC	TrnC,MTTC,RF00005,TRNC,TRNA
MT-TY	TrnY,MTTY,RF00005,TRNY,TRNA
MT-CO1	COI,MTCO1,COX1,COXI
MT-TS1	TRNS1,MTTS1,RF00005,TRNA
MT-TD	TrnD,MTTD,RF00005,TRND,TRNA
MT-CO2	COX2,MTCO2,COII,CO2,COXII
MT-TK	TrnK,MTTK,RF00005,MERRF,TRNK,TRNA
MT-ATP8	ATP8,MTATP8,A6L,URFA6L,ATPase8,ATPASE8
MT-ATP6	ATP6,MTATP6,ATPase-6,Su6m,ATPase6,ATPASE6,RP
MT-CO3	COIII,MTCO3,COX3,CO3,COXIII
MT-TG	TrnG,MTTG,RF00005,TRNG,TRNA
MT-ND3	ND3,MTND3,NAD3,NADH3
MT-TR	TrnR,MTTR,RF00005,TRNR,TRNA
MT-ND4L	ND4L,MTND4L,NAD4L,NADH4L
MT-ND4	ND4,MTND4,NAD4,NADH4,LHON
MT-TH	TrnH,MTTH,RF00005,TRNH,TRNA
MT-TS2	TRNS2,MTTS2,RP8,TRNA
MT-TL2	TRNL2,MTTL2,RF00005,TRNA
MT-ND5	ND5,MTND5,NAD5,NADH5
MT-ND6	ND6,MTND6,NAD6,NADH6
MT-TE	TrnE,MTTE,RF00005,TRNE,TRNA
MT-CYB	CYTB,MTCYB,COB,UQCR3
MT-TT	TrnT,MTTT,RF00005,TRNT,TRNA,LIMM
MT-TP	TrnP,MTTP,RF00005,TRNP,TRNA
5S_rRNA	RN5S250,5S_rRNA
INTS3	SOSS-A,C1orf60,INT3,FLJ21919,C1orf193,SOSSA,Int3
5_8S_rRNA	5_8S_rRNA,RF00002,LSU
LINC01115	NONHSAG026792.2,LINC01115
KIR2DL3	CD158B2,P58,KIR-023GB,KIRCL23,Nkat2a,Nkat2b,NKAT-2,Nkat2,NKAT2,Cl-6,KIR-K7b,KIR-K7c,KIR2DS5,CD158b,KIR2DL,NKAT2A,NKAT2B,NKAT2a,NKAT2b,GL183,NKAT
LILRP2	ILT10,CD85m,LILRA5
KIR2DL4	CD158D,KIR-103AS,KIR103AS,15.212,103AS,G9P,KIR2DL4_00201,KIR-2DL4,KIR103
LINC02109	NONHSAG040100.2,CTD-2118P12.1,HSALNG0040861,Lnc-CDH6-10,LINC02109
LILRP1	LILRA6P,CD85l,ILT9
KIR3DL2	CD158K,Nkat4a,Nkat4b,NKAT-4,Nkat4,NKAT4,Cl-5,KIR-3DL2,NKAT4B,3DL2,P140
KIR2DL1	CD158A,P58.1,NKAT-1,Cl-42,Nkat1,47.11,NKAT1,KIR2DL1/3DL2,KIR-K64,KIR2DL3,KIR221,NKAT
KIR3DL1	NKB1,CD158E1,NKB1B,CD158e1/2,CD158e2,NKAT-3,Cl-11,Nkat3,AMB11,NKAT3,Cl-2,KIR,KIR3DL1/S1,KIR2DL5B,CD158E
KIR2DS3	NKAT-7,NKAT7,Nkat7
KIR2DS4	CD158I,KKA3,NKAT-8,Cl-39,Nkat8,NKAT8,KIR-2DS4,KIR412,KIR1D
KIR3DL3	KIR3DL7,CD158Z,KIRC1,KIR44,KIR3DL33DL3*Novel_CDS_genomic_submission_1
KIR2DL2	CD158B1,NKAT-6,NKAT6,CD158k,CD158b,Cl-43,Nkat6,P58.2
PCMTD2	C20orf36,FLJ10883
NCR1	NK-P46,NKP46,CD335,LY94,HNKp46,NKp46
KIR3DP1	KIR3DS2P,KIR2DS6,KIR48,KIRX,CD158C,CD158c
KIR2DS2	CD158J,183ActI,NKAT-5,Cl-49,NKAT5,KIR-2DS2,KIR2DL1,CD158b,Nkat5
FCAR	CD89,CTB-61M7.2,FcalphaRI
OPRL1	KOR-3,ORL1,OOR,NOCIR,NOPr,PNOCR,KOR3,OPRL,NOP
KIR2DP1	KIR2DL6,KIR15,KIRZ,KIRY
NPBWR2	GPR8
MYT1	MTF1,MYTI,ZC2HC4A,ZC2H2C1,PLPB1,NZF2,C20orf36,KIAA0835,KIAA1050,MyT1,MyTI
GEMIN2P1	--
GATAD2B	P66beta,KIAA1150,P66/P68,GANDS,MRD18,P68
KRT20	K20,CK20,MGC35423,CK-20,Cytokeratin-20,Keratin-20,KRT21,CD20
KRTAP3-1	KAP3.1,KRTAP3.1
KRTAP3-2	KAP3.2,KRTAP3.2
